geography,total_electricity
G4801590,89015383.36026742
G2600170,541918448.2735939
G4804490,223981489.90913653
G1300170,111745261.42250547
G1300030,45747685.00930913
G4500490,162284355.00461665
G2801070,288676824.9765891
G1901610,90570638.72172745
G2001890,40975486.2088936
G1303150,68214090.81913397
G0101290,104814959.5209597
G3901630,74461937.15980202
G1302570,206590193.9947362
G2000590,229362814.1475715
G2900010,167597627.42819697
G4000310,972042924.154108
G2700350,468216365.22327983
G4802510,1241456525.5665138
G4804670,372840634.2121376
G2601510,223016106.81314456
G1700890,2601238388.9168453
G1801210,108064872.74674472
G3601050,431208965.7294673
G3600030,230532016.9295448
G1300950,886590564.6264613
G2000210,135438112.925703
G1901710,104627663.35123785
G1701730,121780328.09142433
G3800370,36667776.39137291
G1901570,127742160.61010163
G3701010,1358971195.0619469
G3600590,7225099769.650394
G1301190,145312400.48170266
G2901950,157370783.50512785
G3701790,1344131594.094862
G0100330,581991423.8342764
G2600790,78733869.45590346
G4500430,577320723.725559
G1301990,172311850.66591257
G4803850,36864257.89213656
G0600330,328040165.5115672
G4600850,26489573.198072057
G2901190,136605640.52299985
G2002030,15067449.515160967
G4001130,359966718.0781975
G2000970,22177387.356313635
G1900910,60774329.15180626
G5300010,85674031.02106473
G2800250,130505315.70567872
G2001630,38516097.95724528
G4500730,698919967.0774319
G3101590,108399526.66349909
G0101130,383832954.10403144
G2600830,22016543.059919488
G5501070,85869497.9411298
G4600710,21793420.59919765
G4802750,24147199.30313909
G0900070,979963080.2099303
G1701090,182703256.13720763
G4800710,329343051.62642765
G1700370,573260484.7580816
G4804090,548751674.9530218
G4900150,40372920.82950023
G4803090,2049400486.1825647
G3700190,1157995505.847413
G2600570,153188198.70763814
G2600550,468387473.31210846
G4700410,147822787.8977443
G1300150,814145541.578788
G4600270,113689879.61476485
G3700390,222653130.037615
G3700090,229489891.17945266
G2800890,824634908.3167464
G3701510,1200442313.2340627
G0600530,1618254716.5941358
G0201640,1575205.0128491092
G4000210,358669259.4976743
G3100170,28891299.221542455
G1801710,37536403.36714538
G2801590,130944340.73813519
G3101630,20210474.65167094
G4200430,2435881527.6687894
G5600010,214380077.2090181
G2102290,87566706.63554882
G4802690,3106106.517170783
G2102190,115785277.30167687
G5100770,144620196.6103942
G4803970,681351850.5678432
G2600490,2476794466.4362965
G0202700,1512910.8927692268
G5100530,172301336.09288406
G0201000,3906895.1302419826
G2000010,120992799.90603861
G2001570,49665552.65031297
G2101050,33664930.61248023
G3100050,3726890.233470112
G2901250,54068871.55563634
G1901830,108837175.45638251
G5107300,288714580.2229987
G0601110,4231394670.298415
G2601590,408635682.289819
G0600610,2364095217.17424
G1301430,196074161.09496272
G4701670,389776553.29525673
